m_id,order_no,plate_city,state
CL00445,8388838978357248,南通,no_car
CL00404,8400818486775808,滁州,not_enough_car
CL00895,8392772603777024,赣州,no_car
CL00010,8401251622487040,嘉兴,not_enough_car
CL00889,8371933705340928,唐山,not_enough_car
CL00889,8380336740860928,唐山,not_enough_car
CL00952,8401112236299264,东莞,not_enough_car
CL00952,8401138888901632,惠州,not_enough_car
CL00952,8401386812901376,惠州,not_enough_car
CL00330,8400326949012480,中山,no_car
CL00165,8400664230532096,南京,not_enough_car
CL00165,8401263979694080,昆明,not_enough_car
CL00950,8377840706884608,湖州,not_enough_car
CL00950,8398030146473984,宁波,not_enough_car
CL00315,8400701119074304,湛江,not_enough_car
CL00936,8386612219840512,石家庄,not_enough_car
CL00936,8392162783758336,成都,not_enough_car
CL00936,8394666698248192,嘉兴,not_enough_car
CL00936,8394889816511488,厦门,not_enough_car
CL00888,8395662218987520,清远,not_enough_car
CL00360,8395067482833920,赣州,not_enough_car
CL00954,8380791756620800,淄博,not_enough_car
CL00954,8383542984804352,江门,not_enough_car
CL00235,8400366531317760,合肥,not_enough_car
CL00416,8401167935800320,西安,not_enough_car
CL00956,8389577407039488,宁波,not_enough_car
CL00956,8391722134307840,兰州,not_enough_car
CL00023,8400679903725568,湖州,not_enough_car
CL00946,8390349660426240,南昌,not_enough_car
